Nº,Texto con distorsión cognitiva,Tipo de distorsión,,,,,Texto libre,Pensamiento alternativo,Construcciones tricky,,Distorsión: Texto Largo (>=3 frases),Distorsión secundaria opcional,Pensamiento alternativo
15,"He engordado 4 kgs, esto es tremendo, inaceptable, no valgo para nada",Catastrofismo,,,,,,"He cogido algo de peso, tengo que empezar a cuidar mi alimentación un poco más. ",No será tan terrible,,"He hablado con el casero, me ha dicho que nos sube el alquiler 250 Euros al mes, esto es lo más grave que me podía haber pasado, horroroso",,"Eso es lo primero que me ha dicho y me ha afectado, pero puedo negociar con él a ver si no es tanto incremento, además, tengo bastante tiempo para buscar piso por s me tengo que mudar"
16,"Si me deja mi mujer, será horrible, el fin, me moriré",Catastrofismo,,,,,,"Si me deja mi mujer, pasaré una temporada muy dura, pero saldré adelante",Mi mujer será la directora de su oficina,,"Mi compañero me dijo que se encargaba él del informe, y ahora resulta que no lo tiene terminado, después de esto que ha pasado nada será igual nunca más, es intolerable",,"Debo de hablar con él a ver qué me explicación me da para no haberlo terminado, lo mismo le ha sido imposible, o a lo mejor tiene la otra parte del informe en algún sitio que desconozco... no adelantemos acontecimientos"
17,"Mi hijo no me ha llamado para decirme que ha llegado. Seguro que les ha pasado algo malo, algo terrible, seguro que han tenido un accidente",Catastrofismo,,,,,,"Mi hijo no me ha llamado para decirme que ha llegado, seguro que ha encontrado caravana y/o le está costando aparcar",Me han sucedido cosas desagradables,,"El ERTE se está alargando, nadie acaba de fijar plazos, el jefe no me concreta nada, ya no volveré a mi antguo trabajo seguro, será atroz, insoportable",,"Bueno, de mometo prorrogan los ERTES hasta diciembre, he de seguir formándome todo lo que pueda y estar lo mejor preparado posible para lo que pueda venir cuando se acaben"
18,"Si me diagnostican un cáncer sería lo peor del mundo, se acabaría toda mi vida",Catastrofismo,,,,,,"Puede que me diagnostiquen un cáncer, entonces tendré que ver qué puedo hacer, qué pronóstico y tratamientos existen",Lo peor de trabajar mucho es que no te guste lo que haces,,"Mi jefa Maite me ha encargado realizar una presentación sobre la contabilidad financiera de la empresa del anterior año fiscal, la presentación me saldrá increíblemente mal, seguro, me abuchearán (y me derrumbaré)",,"Puede que la presentación sea un poco difícil y que no me salga tan bien como yo querría, pero estará bien en líneas generales, seguro, además, si me lo ha pedido a mí es porque mi encargada tiene confianza en mí"
19,"Si no me quiere será terrible, un horror",Catastrofismo,,,,,,"Si no me quiere, puedo encontrar otra persona con quien poder ser feliz","Esta situación me está costando mucho de aguantar, será largo",,"Hace ya 5 años de haberlo dejado con Rosa, querría estar en pareja, ¿qué pasa?, seguro que nunca más encontraré pareja, no lo podré soportar, será espantoso",,"Ahora pienso esto, pero otras veces he estado solo y no ha pasado nada del otro  mundo. Sólo es (será) un periodo diferente, de hecho, sí que he tenido parejas en estos 5 años, pero ninguna acaba de encajar con lo que ahora estoy buscando"
20,"Es la ruina, el coche no arranca",Catastrofismo,,,,,,"Será caro, pero podré hacerle frente",Las lluvias pueden afectar negativamente a la cosecha y hacer que sea un año duro,,"Aquel día en la fiesta, delante de todo el mundo, Claudio me dijo que yo no le gustaba y lo escuchó mucha gente, no podré ser nunca más la misma, ya no podré ser feliz, qué horror",,"Lo que pasó aquel día no me gustó peron es lo que pasó, tendré que hacer un esfuerzo para volver a mi antigua normalidad, lo conseguiré, de hecho hasta me hizo un favor y ahora estoy disfrutando otras cosas increíbles."
21,"Saldrá todo mal, fatal",Catastrofismo,,,,,,Puede que salga algo mal,"Es algo importante, depende como, a largo plazo puede tener consecuencias negativas",,"Mi amiga Ana me ha hecho una pequeña encerrona y me ha programado una cita a ciegas con una amiga suya, la cita será un calvario, lo peor,",,"Iré sin prejuicios, con mente ingénua y de principiante, la vida puede ofrecernos sorpresas y experiencias maravillosas."
22,"Si no apruebo el examen de la próxima semana, seré un fracasado, estaré hundido",Catastrofismo,,,,,,"Si no apruebo el examen de la próxima semana, tendré que estudiar más para la recuperación",Las cosas se pueden poner difíciles,,,,
23,"Me he confundido, estoy acabado",Catastrofismo,,,,,,He tenido un error que puedo subsanar,Me esperan momentos duros,,,,
24,"Será el fin, algo insoportable",Catastrofismo,,,,,,"A lo mejor va mal, pero estoy preparado",Si mi mujer me deja será un momento duro en mi vida,,,,
25,Esto es lo más grave que me podía haber pasado,Catastrofismo,,,,,,"Esto no me gusta, pero le puedo hacer frente",Habrá cosas que serán diferentes siempre,,,,
26,"Mi hijo me va a matar de tanto disgusto, es intolerable",Catastrofismo,,,,,,"Mi hijo me está dando algún disgusto, pero es cosa de la edad, no es para tanto",Hay gente que me lo está haciendo pasar mal,,,,
27,"Siempre me pongo nervioso en sitios cerrados, perderé los nervios, será espantoso",Catastrofismo,,,,,,"A veces me pongo nervioso en sitios cerrados y pequeños, (a ver cómo es la consulta)",Sería una noticia muy dura y me provocaría mucho miedo que me diagnostiquen esa enfermedad,,,,
28,Lo pasaré fatal,Catastrofismo,,,,,,Seguro que no es para tanto,Hay algunas cosas que saldrán mal y nos provocarán malestar ,,,,
29,Seguro que será horrible,Catastrofismo,,,,,,Puede que no sea tan malo como yo pienso,Es horrible lo que ha pasado en Haití,,,,
30,A mi mujer le espera una fatalidad,Catastrofismo,,,,,,"Si pasa algo, estaré para apoyarla",¡Que día tan horroroso hace!,,,,
31,Siempre me pasa a mí lo más terrible,Catastrofismo,,,,,,Al final no es para tanto,Esta pelicula será el fin de la triologia,,,,
32,"me están destrozando la vida,",Catastrofismo,,,,,,Pero sigo teniendo muchas cosas buenas,Las lluvias torrenciales serán fatales para la naturaleza,,,,
33,"la cita será un calvario, lo peor",Catastrofismo,,,,,,"Esta situación está siendo difícil, pero sé que mejorará.",Sería horroroso que la guerra durara muchos días más,,,,
34,será horroso,Catastrofismo,,,,,,Probablemente también habrá cosas positivas,El sunami será debastador para los pueblos de al lado,,,,
35,esto es insufrible,Catastrofismo,,,,,,"No me gusta, pero tengo márgen de maniobra, puedo hacer cosas",Es insoportable tener que hacer cola durante una hora,,,,
36,"eso no lo podré soportar, seguro, será demasiado",Catastrofismo,,,,,,He pasado cosas mucho peores,¡Terrible me han entrado a casa a robar!,,,,
37,No puedo aguantar más esta situación,Catastrofismo,,,,,,He de tolerar ciertas cosas que no me gustan y centrarme en las que me gustan,Hay cosas que no salen bien y que no son agradables,,,,
38,"Las lluvias seguro que serán dantescas, destrozarán toda la cosecha, será mi ruina",Catastrofismo,,,,,,"Puede que las lluvias afecten a la cosecha, tendré que estar atento, algo podré hacer para que no sea tan grave",Después de esto las cosas serán más difíciles,,,,
39,"Has visto cómo me ha mirado el jefe?. Seguro que piensa que soy estúpido, el peor empleado",Catastrofismo,Leer la mente,,,,,"Creo que el jefe me ha mirado con cara de enfado, igual tiene un mal día",Las taquicardias son una situación bastante desagradable.,,,,
40,Después de esto que ha pasado nada será igual nunca más,Catastrofismo,,,,,,"Después de esto que ha pasado será difícil y llevará un tiempo que retome mi vida normal, pero lo conseguiré, saldré adelante.",Que alguien que es importante para ti no te conteste un mensaje es una situación desagradable,,,,
41,"He pillado a mi hijo fumando un porro. Es horroroso, acabará siendo un despojo humano. ",Catastrofismo,,,,,,Tengo que hablar con él de los problemas que pueden derivarse si hace ciertas cosas,Engordar 4 kg en las navidades es incómodo ,,,,
42,Esto es insoportable,Catastrofismo,,,,,,A veces soy un poco exagerada/o,Que te deje tu pareja es una de las situaciones más complicadas de la vida,,,,
43,"Será lo peor del mundo, ni me lo quiero imaginar",Catastrofismo,,,,,,"Bueno, todavía no sé lo que va a pasar","Como madre, me preocupo mucho por la seguridad de mi familia. Sufriría mucho si les pasase algo",,,,
44,No hay nada peor que lo que me ha pasado,Catastrofismo,,,,,,"No ha sido para tanto, aún estoy aquí y puedo hacer cosas para cambiar eso",Sería una noticia muy dura que me diagnostiquen un cáncer,,,,
45,"No iré al cumpleaños porque haré el ridículo y será un desastre, lo peor",Catastrofismo,,,,,,"No soy el rey de las fiestas e incluso a veces paso malos momentos, pero conozco gente nueva y merece la pena ",Hay planes que salen mal,,,,
46,"nunca más confiarán en mí, es horroroso",Catastrofismo,,,,,,"no ha sido para tanto, la próxima vez lo haré mejor",He cometido un fallo relevante (importante),,,,
47,"Me espera lo peor, un auténtico infierno",Catastrofismo,,,,,,suelo pensar siempre igual y luego no es para tanto,Mi hijo está haciendo cosas que no me gustan,,,,
48,"Soy el peor trabajador de la empresa, todo lo hago fatal",Catastrofismo,,,,,,todo el mundo se equivoca de vez en cuando,Me espera un momento complicado,,,,
49,"No puedo más con esta situación, es dramático",Catastrofismo,,,,,,estoy pudiendo con ello a pesar de las dificultades,Puede que pase un mal trago (momento),,,,
50,Me saldrá increíblemente mal,Catastrofismo,,,,,,"voy a intentarlo, lo haré con ganas",No lo estoy pasando (demasiado) bien,,,,
51,"He sido el peor del partido, me echarán del equipo",Catastrofismo,,,,,,Todo el mundo puede tener malos días,Puede que tenga malos momentes,,,,
52,"Me abandonará mi mujer, será auténticamente doloroso",Catastrofismo,,,,,,"Si me deja mi mujer, lo pasaré mal, pero con ayuda de la familia, amigos y profesionales si hiciese falta, lo superaré",Me está resultando difícil tolerar esta situación,,,,
53,"No aguanto más, me sucede todo lo peor",Catastrofismo,,,,,,me pasan cosas duras pero doy lo mejor de mí,El jefe me ha mirado con cara de estar (muy) enfadado,,,,
54,"no podré ser nunca más la misma, ya no podré ser feliz, qué horror",Catastrofismo,,,,,,tendré que hacer un esfuerzo para volver a mi antigua normalidad. ,"Después de esto que ha pasado, probablemente, la vida será más difícil que hasta ahora. ",,,,
55,"Me están destrozando la vida, inadmisible",Catastrofismo,,,,,,Puedo centrarme en lo que depende de mí,Esto me resulta molesto,,,,
56,Será terrible,Catastrofismo,,,,,,"a ver cómo me va la presentación, he trabajado duro",Aquello que me pasó fue duro,,,,
57,Pasará seguro y será insoportable,Catastrofismo,,,,,,"puede ser que pase y puede que no, otras veces me he adelantado en exceso a lo negativo",En el cumpleaños puede que pase momentos malos,,,,
58,"Me saldrá algo malo seguro, una enfermedad grave, no podré tolerarlo",Catastrofismo,,,,,,"Que me diagnostiquen eso sería duro, pero hay buenos tratamientos y siempre se puede hacer algo","He tenido un error grave, me lo tendrán en cuenta",,,,
59,"No entregué el trabajo a tiempo.  Esto es terrible, seguro que me despiden",Catastrofismo,,,,,,Si me dicen algo les explicaré el porqué y trataré de que no vuelva a pasar. ,"Como trabajador, hay cosas que no hago bien",,,,
60,Esto es lo peor del mundo,Catastrofismo,,,,,,"si lo pienso bien, he pasado cosas peores","He hecho un mal partido, puede que haya consecuencias",,,,
61,"Me pasó algo inaguantable, lo peor ",Catastrofismo,,,,,,"visto con distancia, no fue para tanto y evoluciné mucho como persona",Pueden llamarte la atención si no entregas informes en el plazo establecido,,,,
62,"No lo podré tolerar, imposible, ",Catastrofismo,,,,,,"he de vivir el momento presente, ya veremos que pasa finalmente","En 5 meses he engordado mucho, 5 kg, es algo que me disgusta, y no me gusta tanto mi apariencia ",,,,
63,aquello fue lo peor del mundo,Catastrofismo,,,,,,pienso esto a menudo y luego hasta me río de ciertas cosas que pensaba que eran horrorosas,"A mi em costa de veure que siguin tricky perque no veig que tinguin ni adjectius negatius tipis de catastrofisme (horrible, desastroso, lo peor, insoportable, terrible, será el fin...). Ni tampoc tenen la fomra verbal de futur o anticipació, sería ...será..
Crec que hi ha moltes vegades l'adjectiu desagradable com si fos específic o definitori de Catastrofismo, però per mi no ho és",,,,
64,"Eso no lo probaré, seguro que me sale fatal y me quedo hundido ",Catastrofismo,,,,,,"Aunque me pueda salir mal, lo habré intentado y me servirá para (cosas similares) en el futuro. ",,,,,
65,"En 5 meses he engordado mucho. Es inaceptable, me doy asco, esto no lo puedo soportar.",Catastrofismo,,,,,,"En  5 meses he engordado 5 Kg, a partir de ahora le dedicaré más tiempo a una alimentación buena (equilibrada) ",,,,,
66,lo que me hizo me destrozó la vida ,Catastrofismo,,,,,,"aunque fue duro al principio, aprendí mucho de aquella experiencia",,,,,
67,me arruinaré seguro,Catastrofismo,,,,,,"buscaré varias opciones, seguro que finalmente no es tan caro",,,,,
68,"doy asco, soy lo peor, intolerable",Catastrofismo,,,,,,"tengo cosas buenas, muy buenas y otras malas o muy malas, como todo el mundo",,,,,
69,"me quedaré solo seguro, no lo podré aguantar",Catastrofismo,,,,,,"poseo virtudes y cualidades buenas, seguro que podré encontrar a otra persona con quien ser feliz",,,,,
70,eso sería lo peor del muno,Catastrofismo,,,,,,"incluso en ese caso, siempre hay margen de cambio",,,,,
71,es lo más grave que podía haber pasado,Catastrofismo,,,,,,"sigo vivo, con salud, amigos, familia y energía para perseguir mis metas y propósitos",,,,,
72,"me saldrá mal seguro, segurísimo, será horroroso",Catastrofismo,,,,,,"puede que me ponga algo nerviosa, pero lo llevo bien preparado, me irá bien",,,,,
73,"me espera lo peor del mundo, será insufrible",Catastrofismo,,,,,,"suelo ser bastante pesimista, luego normalmente no es tan malo como me había imaginado",,,,,
74,"mi novio me engañará, será insoportable, terrible",Catastrofismo,,,,,,"el sabrá lo que hace,y si lo hace, es que realmente no vale la pena",,,,,
